song_key,title,artist,Brazil,France,Germany,India,Indonesia,Japan,Korea,Malaysia,Overall,Singapore,South Africa,Taiwan,Thailand,United Kingdom,United States,appear_country_count,tie_up_type
だから僕は音楽を辞めた / ヨルシカ,だから僕は音楽を辞めた,ヨルシカ,,,,,78.0,,73.0,84.0,,58.0,,57.0,,,,5,None
Feather (feat. Cise Starr & Akin from CYNE) / Nujabes,Feather (feat. Cise Starr & Akin from CYNE),Nujabes,,29.0,68.0,,,,,,,,40.0,,,22.0,51.0,5,None
again / YUI,again,YUI,44.0,54.0,84.0,,,,,,,,,,,100.0,91.0,5,Anime
aruarian dance / Nujabes,aruarian dance,Nujabes,,74.0,,67.0,,,,,,,49.0,,,71.0,49.0,5,None
遥か彼方 / ASIAN KUNG-FU GENERATION,遥か彼方,ASIAN KUNG-FU GENERATION,29.0,86.0,,,58.0,,,,94.0,,,,,,90.0,5,Anime
メズマライザー / サツキ,メズマライザー,サツキ,83.0,,,,,,87.0,,73.0,,,,,74.0,50.0,5,None
YouSeeBIGGIRL/T:T / 澤野弘之,YouSeeBIGGIRL/T:T,澤野弘之,,59.0,82.0,86.0,,,,,,,94.0,,,,,4,Anime
UNDEFEATED / XG & VALORANT,UNDEFEATED,XG & VALORANT,100.0,,,,,,,,,90.0,66.0,,91.0,,,4,Game
il vento d'oro / 菅野祐悟,il vento d'oro,菅野祐悟,77.0,78.0,,65.0,,,,,,,,,,76.0,,4,Anime
Wherever you are / ONE OK ROCK,Wherever you are,ONE OK ROCK,,,,,29.0,,,69.0,,56.0,,84.0,,,,4,None
Mirage / Creepy Nuts,Mirage,Creepy Nuts,,61.0,56.0,85.0,,,,,,,69.0,,,,,4,None
Obsessed / Ayumu Imazu,Obsessed,Ayumu Imazu,,,,80.0,,,11.0,,81.0,,,,13.0,,,4,None
花園 / 久石譲,花園,久石譲,,80.0,,,,,,,,,46.0,,,55.0,64.0,4,None
ヘドバンギャー!! / BABYMETAL,ヘドバンギャー!!,BABYMETAL,24.0,,53.0,,,,,,,,,,,72.0,97.0,4,None
Cry Baby / Official髭男dism,Cry Baby,Official髭男dism,,79.0,,46.0,,,54.0,,80.0,,,,,,,4,Anime
ドライフラワー / 優里,ドライフラワー,優里,,,,,,26.0,27.0,,,62.0,,18.0,,,,4,None
Color Your Night / Lotus Juice / 高橋あず美,Color Your Night,Lotus Juice / 高橋あず美,58.0,,,,,,,,,,58.0,,,62.0,41.0,4,Game
F・L・Y / スペクトラム,F・L・Y,スペクトラム,86.0,,97.0,,,,,,,,60.0,,,,79.0,4,None
百花繚乱 / 幾田りら,百花繚乱,幾田りら,,,50.0,,53.0,,,47.0,,,,46.0,,,,4,Anime
怪獣 / サカナクション,怪獣,サカナクション,,,,,13.0,58.0,,60.0,,,,27.0,,,,4,Anime
モニタリング / DECO*27,モニタリング,DECO*27,,,71.0,,72.0,,79.0,64.0,,,,,,,,4,None
カタオモイ / Aimer(エメ),カタオモイ,Aimer(エメ),,,,,,,63.0,83.0,,85.0,,39.0,,,,4,None
オレンジ / SPYAIR,オレンジ,SPYAIR,,,,,,55.0,47.0,,,,,40.0,63.0,,,4,Anime
炎 / LiSA,炎,LiSA,,,,,76.0,,,37.0,,55.0,,35.0,,,,4,Anime
ロストアンブレラ / 稲葉曇,ロストアンブレラ,稲葉曇,89.0,,,,,,,,,,62.0,,,88.0,78.0,4,None
GRL GVNG / XG,GRL GVNG,XG,51.0,,,,,,,,90.0,88.0,70.0,,,,,4,None
優しい彗星 / YOASOBI,優しい彗星,YOASOBI,,,,,66.0,,,,,64.0,,86.0,,,,3,Anime
メギツネ / BABYMETAL,メギツネ,BABYMETAL,70.0,,65.0,,,,,,,,,,,78.0,,3,None
マリーゴールド / あいみょん,マリーゴールド,あいみょん,,,,,,33.0,20.0,,,,,95.0,,,,3,None
ライラック / Mrs.GREEN APPLE,ライラック,Mrs.GREEN APPLE,,,,,,2.0,42.0,,,,,34.0,,,,3,None
愛して 愛して 愛して (feat. 初音ミク) / きくお,愛して 愛して 愛して (feat. 初音ミク),きくお,66.0,,,,,,,,,,,,,94.0,69.0,3,Vocaloid
ファタール / GEMN,ファタール,GEMN,,97.0,67.0,,,78.0,,,,,,,,,,3,None
ハルカ / YOASOBI,ハルカ,YOASOBI,,,,,60.0,,,,,82.0,,96.0,,,,3,None
愛を伝えたいだとか / あいみょん,愛を伝えたいだとか,あいみょん,,,,87.0,,,9.0,,87.0,,,,,,,3,None
テトリス / 柊マグネタイト,テトリス,柊マグネタイト,,,59.0,,98.0,,,87.0,,,,,,,,3,Vocaloid
夢幻 / MY FIRST STORY × HYDE,夢幻,MY FIRST STORY × HYDE,,,,82.0,,99.0,,,,,,,86.0,,,3,Anime
夢灯籠 / RADWIMPS,夢灯籠,RADWIMPS,,100.0,,36.0,,,,,,71.0,,,,,,3,Movie
the WORLD / ナイトメア,the WORLD,ナイトメア,69.0,94.0,93.0,,,,,,,,,,,,,3,Anime
怪獣の花唄 / Vaundy,怪獣の花唄,Vaundy,,,,,,7.0,26.0,,,,,51.0,,,,3,None
どうして (feat. 野田愛実) / 高瀬統也,どうして (feat. 野田愛実),高瀬統也,,,,,,,,75.0,,48.0,,58.0,,,,3,None
アンディーヴと眠って / 青葉市子,アンディーヴと眠って,青葉市子,,,,,,,,,,,45.0,,,84.0,58.0,3,None
さよーならまたいつか！ / 米津玄師,さよーならまたいつか！,米津玄師,,,,,,25.0,25.0,,,,,47.0,,,,3,TV番組
不可思議のカルテ movie Ver. / カワイヒデヒロ,不可思議のカルテ movie Ver.,カワイヒデヒロ,94.0,,98.0,73.0,,,,,,,,,,,,3,Movie
IYKYK / XG,IYKYK,XG,,,,,,,,,,92.0,81.0,,82.0,,,3,None
Luv(sic) pt3 feat. Shing02 / Nujabes,Luv(sic) pt3 feat. Shing02,Nujabes,,34.0,,,,,,,,,,,,54.0,89.0,3,None
SHADOWBORN / Hiroyuki SAWANO feat. Benjamin & mpi,SHADOWBORN,Hiroyuki SAWANO feat. Benjamin & mpi,,,37.0,91.0,,,,,,,79.0,,,,,3,None
言って。 / ヨルシカ,言って。,ヨルシカ,,,,,96.0,,83.0,,,72.0,,,,,,3,Anime
白日 / King Gnu,白日,King Gnu,,,,,,81.0,59.0,,,,,83.0,,,,3,None
Full Moon Full Life / Lotus Juice / 高橋あず美,Full Moon Full Life,Lotus Juice / 高橋あず美,97.0,,,,,,,,,,,,,93.0,77.0,3,Game
The Beginning / ONE OK ROCK,The Beginning,ONE OK ROCK,,,,,47.0,,,,,83.0,,,87.0,,,3,Movie
Tot Musica (ウタ from ONE PIECE FILM RED) / Ado,Tot Musica (ウタ from ONE PIECE FILM RED),Ado,,58.0,45.0,,,,,,,,,,,,85.0,3,Movie
Hero's Come Back!! / nobodyknows+,Hero's Come Back!!,nobodyknows+,62.0,95.0,,,52.0,,,,,,,,,,,3,Anime
東京フラッシュ / Vaundy,東京フラッシュ,Vaundy,,,,,,,41.0,,,,,94.0,100.0,,,3,None
一緒なら / 照井順政,一緒なら,照井順政,,,,,,,,,,,67.0,,,75.0,56.0,3,None
私は最強 (ウタ from ONE PIECE FILM RED) / Ado,私は最強 (ウタ from ONE PIECE FILM RED),Ado,,96.0,88.0,,,,86.0,,,,,,,,,3,Movie
最高到達点 / SEKAI NO OWARI,最高到達点,SEKAI NO OWARI,,73.0,,89.0,,39.0,,,,,,,,,,3,Anime
Last Surprise / Lyn,Last Surprise,Lyn,95.0,,,,,,,,,,,,,57.0,67.0,3,Game
LADY / 米津玄師,LADY,米津玄師,,,,68.0,,,7.0,,70.0,,,,,,,3,None
W●RK / millennium parade × 椎名林檎,W●RK,millennium parade × 椎名林檎,,70.0,79.0,,,,,,,,78.0,,,,,3,None
Lady Brown / Nujabes,Lady Brown,Nujabes,,99.0,,,,,,,,,,,,48.0,87.0,3,None
熱情のスペクトラム / いきものがかり,熱情のスペクトラム,いきものがかり,47.0,49.0,95.0,,,,,,,,,,,,,3,Anime
You Say Run / 林ゆうき,You Say Run,林ゆうき,,45.0,,,,,,,,,73.0,,,64.0,,3,Anime
第ゼロ感 / 10-FEET,第ゼロ感,10-FEET,,,,,,48.0,84.0,,,,,,,,,2,Movie
FLY HIGH!! / BURNOUT SYNDROMES,FLY HIGH!!,BURNOUT SYNDROMES,,,99.0,78.0,,,,,,,,,,,,2,Anime
Red Swan / YOSHIKI feat.HYDE,Red Swan,YOSHIKI feat.HYDE,,,,,,,,,,,,,,79.0,88.0,2,Anime
CRY FOR ME feat. 愛海 / Michita,CRY FOR ME feat. 愛海,Michita,,,,,,,,41.0,,,,65.0,,,,2,None
ホタルノヒカリ / いきものがかり,ホタルノヒカリ,いきものがかり,73.0,89.0,,,,,,,,,,,,,,2,Anime
燈 / 崎山蒼志,燈,崎山蒼志,,,,61.0,,,,,,,,,69.0,,,2,Anime
地球儀 / 米津玄師,地球儀,米津玄師,,,,,,,45.0,,,,,76.0,,,,2,Movie
Plazma / 米津玄師,Plazma,米津玄師,,,,,,67.0,,,,,,100.0,,,,2,None
グランドエスケープ feat. 三浦透子 / RADWIMPS,グランドエスケープ feat. 三浦透子,RADWIMPS,,,,58.0,68.0,,,,,,,,,,,2,Movie
PA PA YA!! (feat. F.HERO) / BABYMETAL,PA PA YA!! (feat. F.HERO),BABYMETAL,99.0,,66.0,,,,,,,,,,,,,2,None
LOSER / 米津玄師,LOSER,米津玄師,,,,,,,69.0,,,,,52.0,,,,2,None
絶対零度 / なとり,絶対零度,なとり,,,90.0,,,,,,,,,,52.0,,,2,None
Find Your Flame (feat. Kellin Quinn & Tyler Smyth) / 大谷智哉,Find Your Flame (feat. Kellin Quinn & Tyler Smyth),大谷智哉,,,,,,,,,,,,,,86.0,86.0,2,Game
花に亡霊 / ヨルシカ,花に亡霊,ヨルシカ,,,,,,,75.0,,,,,61.0,,,,2,None
INERTIA / SawanoHiroyuki[nZk]:Rei,INERTIA,SawanoHiroyuki[nZk]:Rei,,,72.0,,,,,,,,91.0,,,,,2,Anime
MILLION PLACES / XG,MILLION PLACES,XG,,,,,42.0,,,59.0,,,,,,,,2,None
GO!!! / FLOW,GO!!!,FLOW,64.0,,,,67.0,,,,,,,,,,,2,Anime
可愛くてごめん feat. ちゅーたん(早見沙織) / HoneyWorks,可愛くてごめん feat. ちゅーたん(早見沙織),HoneyWorks,,,,88.0,,,,,,95.0,,,,,,2,Anime
ダンスホール / Mrs.GREEN APPLE,ダンスホール,Mrs.GREEN APPLE,,,,,,11.0,44.0,,,,,,,,,2,None
フィナーレ。 / eill,フィナーレ。,eill,,,,,,,14.0,,,,,99.0,,,,2,None
ミックスナッツ / Official髭男dism,ミックスナッツ,Official髭男dism,,,,,,69.0,92.0,,,,,,,,,2,Anime
Number One - Bankai (feat.Hazel Fernandes) / 鷺巣詩郎,Number One - Bankai (feat.Hazel Fernandes),鷺巣詩郎,,,,43.0,,,,,,,,,,87.0,,2,Anime
OH! TENGO SUERTE / 高中正義,OH! TENGO SUERTE,高中正義,,,,,,,,,,,,,,81.0,93.0,2,None
オレンジ / 7!!,オレンジ,7!!,,,,,9.0,,,46.0,,,,,,,,2,Anime
THE DAY / ポルノグラフィティ,THE DAY,ポルノグラフィティ,93.0,81.0,,,,,,,,,,,,,,2,Anime
春を告げる / yama,春を告げる,yama,,,,96.0,,,35.0,,,,,,,,,2,None
「僕は...」 / あたらよ,「僕は...」,あたらよ,,,,,,,,,,,,22.0,95.0,,,2,None
春泥棒 / ヨルシカ,春泥棒,ヨルシカ,,,,,,,97.0,,,,,63.0,,,,2,None
attack ON titan <Vocal: MIKA KOBAYASHI> / 澤野弘之,attack ON titan <Vocal: MIKA KOBAYASHI>,澤野弘之,,66.0,87.0,,,,,,,,,,,,,2,Anime
aLIEz / SawanoHiroyuki[nZk],aLIEz,SawanoHiroyuki[nZk],,,,,,,,89.0,,,,62.0,,,,2,Anime
革命道中 / アイナ・ジ・エンド,革命道中,アイナ・ジ・エンド,,,64.0,,,,,,,,87.0,,,,,2,Anime
Watch me! / YOASOBI,Watch me!,YOASOBI,,,,,93.0,,,88.0,,,,,,,,2,None
青と夏 / Mrs.GREEN APPLE,青と夏,Mrs.GREEN APPLE,,,,,,9.0,58.0,,,,,,,,,2,Movie
W / X / Y / Tani Yuuki,W / X / Y,Tani Yuuki,,,,,,40.0,76.0,,,,,,,,,2,None
Undefeatable (feat. Kellin Quinn) / 大谷智哉,Undefeatable (feat. Kellin Quinn),大谷智哉,,,,,,,,,,,,,,35.0,38.0,2,Game
UNDER THE TREE / SiM,UNDER THE TREE,SiM,,,,,,,,,,,90.0,,,89.0,,2,Anime
Remember Summer Days / 杏里,Remember Summer Days,杏里,,,,,83.0,,,,,,,,,,83.0,2,None
もう少しだけ / YOASOBI,もう少しだけ,YOASOBI,,,,,,,,,,78.0,,79.0,,,,2,CM
Tank! / シートベルツ,Tank!,シートベルツ,,,,,,,,,,,,,,83.0,62.0,2,Anime
Subtitle / Official髭男dism,Subtitle,Official髭男dism,,,,,,17.0,85.0,,,,,,,,,2,TVドラマ
Stand Out Fit In / ONE OK ROCK,Stand Out Fit In,ONE OK ROCK,,,,,74.0,,,,,81.0,,,,,,2,Movie
ウタカタララバイ (ウタ from ONE PIECE FILM RED) / Ado,ウタカタララバイ (ウタ from ONE PIECE FILM RED),Ado,,82.0,75.0,,,,,,,,,,,,,2,Movie
Beneath The Mask / Lyn,Beneath The Mask,Lyn,,,,,,,,,,,,,,92.0,68.0,2,Game
アンコール / YOASOBI,アンコール,YOASOBI,,,,,,,,,,86.0,,69.0,,,,2,None
逆夢 / King Gnu,逆夢,King Gnu,,,,,,,34.0,,,,,87.0,,,,2,Anime
何なんw / 藤井風,何なんw,藤井風,,,,,,,,,,,,,64.0,,,1,None
青い珊瑚礁 / 松田聖子,青い珊瑚礁,松田聖子,,,,,,,18.0,,,,,,,,,1,None
青い、濃い、橙色の日 / MASS OF THE FERMENTING DREGS,青い、濃い、橙色の日,MASS OF THE FERMENTING DREGS,,,,,,,,,,,92.0,,,,,1,None
金木犀 / なとり,金木犀,なとり,,,,,,,,,,,,,90.0,,,1,None
光 / 宇多田ヒカル,光,宇多田ヒカル,,,,,,,,,,,,,,,46.0,1,Movie
花束 / back number,花束,back number,,,,,,45.0,,,,,,,,,,1,None
高嶺の花子さん / back number,高嶺の花子さん,back number,,,,,,19.0,,,,,,,,,,1,None
重てえ / 千葉雄喜,重てえ,千葉雄喜,,,,,,,,,,,64.0,,,,,1,None
美しい鰭 / スピッツ,美しい鰭,スピッツ,,,,,,47.0,,,,,,,,,,1,Movie
僕のこと / Mrs.GREEN APPLE,僕のこと,Mrs.GREEN APPLE,,,,,,21.0,,,,,,,,,,1,TV番組
